PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01010011,01010101,01011001,10100110,10101010,10101100,10110010
"(38, 70)",2.0,"(0, 1)","[(38, 70), (116, 154)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(116, 154)",2.0,"(0, 7)","[(38, 70), (57, 39)]",01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B
"(218, 216)",2.0,"(1, 2)","[(116, 154), (218, 216)]",10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B
"(173, 156)",2.0,"(2, 3)","[(218, 216), (173, 156)]",00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M
"(150, 137)",2.0,"(2, 5)","[(218, 216), (195, 126)]",01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B
"(195, 126)",2.0,"(3, 5)","[(173, 156), (195, 126)]",01 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,10 - B
"(120, 97)",2.0,"(5, 6)","[(195, 126), (120, 97)]",10 - B,01 - B,10 - B,00 - M,11 - M,01 - B,10 - B,01 - B
"(57, 39)",2.0,"(5, 7)","[(195, 126), (57, 39)]",11 - M,01 - B,11 - M,01 - B,10 - B,00 - M,10 - B,00 - M
,2.0,"(6, 7)","[(120, 97), (57, 39)]",01 - B,11 - M,01 - B,01 - B,10 - B,10 - B,00 - M,10 - B
,3.0,"(0, 1, 2)","[(38, 70), (116, 154), (218, 216)]",010 - I,010 - I,010 - I,010 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 7)","[(38, 70), (116, 154), (57, 39)]",011 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(38, 70), (120, 97), (57, 39)]",001 - I,011 - I,001 - I,001 - I,110 - I,110 - I,100 - I,110 - I
,3.0,"(1, 2, 3)","[(116, 154), (218, 216), (173, 156)]",100 - I,101 - I,101 - I,101 - I,010 - I,010 - I,010 - I,011 - I
,3.0,"(2, 3, 5)","[(218, 216), (173, 156), (195, 126)]",001 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,110 - I
,3.0,"(3, 5, 6)","[(173, 156), (195, 126), (120, 97)]",010 - I,101 - I,110 - I,100 - I,011 - I,001 - I,010 - I,101 - I
,3.0,"(5, 6, 7)","[(195, 126), (120, 97), (57, 39)]",101 - I,011 - I,101 - I,001 - I,110 - I,010 - I,100 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(38, 70), (116, 154), (218, 216), (173, 156)]",0100 - I,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(38, 70), (116, 154), (218, 216), (150, 137)]",0101 - B,0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I,1010 - B
,4.0,"(0, 1, 2, 7)","[(38, 70), (116, 154), (218, 216), (57, 39)]",0101 - B,0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 7)","[(38, 70), (116, 154), (150, 137), (57, 39)]",0111 - I,0101 - B,0101 - B,0111 - I,1000 - I,1010 - B,1010 - B,1000 - I
,4.0,"(0, 1, 6, 7)","[(38, 70), (116, 154), (120, 97), (57, 39)]",0101 - B,0111 - I,0101 - B,0101 - B,1010 - B,1010 - B,1000 - I,1010 - B
,4.0,"(0, 4, 6, 7)","[(38, 70), (150, 137), (120, 97), (57, 39)]",0101 - B,0011 - B,0001 - I,0101 - B,1010 - B,1110 - I,1100 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(38, 70), (195, 126), (120, 97), (57, 39)]",0101 - B,0011 - B,0101 - B,0001 - I,1110 - I,1010 - B,1100 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,
