PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010011,01010110,01011001,10100110,10101001,10101100
"(116, 196)",2.0,"(0, 1)","[(116, 196), (141, 208)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(141, 208)",2.0,"(0, 6)","[(116, 196), (114, 175)]",01 - B,01 - B,00 - M,11 - M,10 - B,10 - B
"(189, 178)",2.0,"(0, 7)","[(116, 196), (67, 47)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(156, 153)",2.0,"(1, 2)","[(141, 208), (189, 178)]",10 - B,10 - B,10 - B,01 - B,01 - B,01 - B
"(132, 171)",2.0,"(2, 3)","[(189, 178), (156, 153)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(130, 139)",2.0,"(2, 7)","[(189, 178), (67, 47)]",01 - B,00 - M,01 - B,10 - B,11 - M,10 - B
"(114, 175)",2.0,"(3, 7)","[(156, 153), (67, 47)]",11 - M,10 - B,11 - M,00 - M,01 - B,00 - M
"(67, 47)",2.0,"(5, 7)","[(130, 139), (67, 47)]",01 - B,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(114, 175), (67, 47)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,3.0,"(0, 1, 2)","[(116, 196), (141, 208), (189, 178)]",010 - I,010 - I,010 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 6)","[(116, 196), (141, 208), (114, 175)]",011 - I,011 - I,010 - I,101 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(116, 196), (114, 175), (67, 47)]",011 - I,010 - I,001 - I,110 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(141, 208), (189, 178), (156, 153)]",101 - I,101 - I,101 - I,010 - I,010 - I,010 - I
,3.0,"(2, 3, 5)","[(189, 178), (156, 153), (130, 139)]",010 - I,011 - I,010 - I,101 - I,100 - I,101 - I
,3.0,"(2, 3, 7)","[(189, 178), (156, 153), (67, 47)]",011 - I,010 - I,011 - I,100 - I,101 - I,100 - I
,3.0,"(3, 5, 7)","[(156, 153), (130, 139), (67, 47)]",101 - I,110 - I,101 - I,010 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(130, 139), (114, 175), (67, 47)]",011 - I,110 - I,001 - I,110 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(116, 196), (141, 208), (189, 178), (156, 153)]",0101 - B,0101 - B,0101 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(116, 196), (141, 208), (189, 178), (132, 171)]",0100 - I,0100 - I,0101 - B,1010 - B,1011 - I,1011 - I
,4.0,"(0, 1, 2, 6)","[(116, 196), (141, 208), (189, 178), (114, 175)]",0101 - B,0101 - B,0100 - I,1011 - I,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(116, 196), (141, 208), (132, 171), (114, 175)]",0101 - B,0101 - B,0110 - B,1001 - B,1010 - B,1010 - B
,4.0,"(0, 1, 6, 7)","[(116, 196), (141, 208), (114, 175), (67, 47)]",0111 - I,0110 - B,0101 - B,1010 - B,1001 - B,1000 - I
,4.0,"(0, 4, 6, 7)","[(116, 196), (132, 171), (114, 175), (67, 47)]",0011 - B,0010 - I,0101 - B,1010 - B,1101 - I,1100 - B
,4.0,"(0, 5, 6, 7)","[(116, 196), (130, 139), (114, 175), (67, 47)]",0011 - B,0110 - B,0001 - I,1110 - I,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,
