PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01011001,10100110
"(199, 244)",2.0,"(0, 1)","[(199, 244), (220, 128)]",01 - B,10 - B
"(220, 128)",2.0,"(0, 4)","[(199, 244), (144, 177)]",01 - B,10 - B
"(80, 12)",2.0,"(0, 6)","[(199, 244), (85, 182)]",00 - M,11 - M
"(102, 96)",2.0,"(0, 7)","[(199, 244), (35, 175)]",01 - B,10 - B
"(144, 177)",2.0,"(1, 2)","[(220, 128), (80, 12)]",10 - B,01 - B
"(101, 146)",2.0,"(2, 3)","[(80, 12), (102, 96)]",01 - B,10 - B
"(85, 182)",2.0,"(2, 7)","[(80, 12), (35, 175)]",01 - B,10 - B
"(35, 175)",2.0,"(6, 7)","[(85, 182), (35, 175)]",01 - B,10 - B
,3.0,"(0, 1, 2)","[(199, 244), (220, 128), (80, 12)]",010 - I,101 - I
,3.0,"(0, 1, 4)","[(199, 244), (220, 128), (144, 177)]",011 - I,100 - I
,3.0,"(0, 4, 6)","[(199, 244), (144, 177), (85, 182)]",010 - I,101 - I
,3.0,"(0, 6, 7)","[(199, 244), (85, 182), (35, 175)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(220, 128), (80, 12), (102, 96)]",101 - I,010 - I
,3.0,"(2, 3, 5)","[(80, 12), (102, 96), (101, 146)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(80, 12), (102, 96), (35, 175)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(80, 12), (85, 182), (35, 175)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(101, 146), (85, 182), (35, 175)]",001 - I,110 - I
,4.0,"(0, 1, 2, 3)","[(199, 244), (220, 128), (80, 12), (102, 96)]",0101 - B,1010 - B
,4.0,"(0, 1, 2, 4)","[(199, 244), (220, 128), (80, 12), (144, 177)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(199, 244), (220, 128), (102, 96), (144, 177)]",0111 - I,1000 - I
,4.0,"(0, 1, 4, 5)","[(199, 244), (220, 128), (144, 177), (101, 146)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 6)","[(199, 244), (220, 128), (144, 177), (85, 182)]",0110 - B,1001 - B
,4.0,"(0, 4, 6, 7)","[(199, 244), (144, 177), (85, 182), (35, 175)]",0101 - B,1010 - B
,4.0,"(0, 5, 6, 7)","[(199, 244), (101, 146), (85, 182), (35, 175)]",0001 - I,1110 - I
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
