PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01001110,01010011,01010110,01011001,01011010,01100011,01100101,01100110,01101001,10010110,10011001,10011010,10011100,10100101,10100110,10101001,10101100,10110001,10110010
"(12, 21)",2.0,"(0, 1)","[(12, 21), (175, 238)]",01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B
"(175, 238)",2.0,"(0, 6)","[(12, 21), (153, 32)]",00 - M,01 - B,01 - B,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,10 - B,10 - B,11 - M
"(200, 219)",2.0,"(0, 7)","[(12, 21), (244, 18)]",01 - B,00 - M,01 - B,00 - M,01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B,11 - M,10 - B,11 - M,10 - B
"(230, 229)",2.0,"(1, 2)","[(175, 238), (200, 219)]",10 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,01 - B
"(201, 180)",2.0,"(1, 3)","[(175, 238), (230, 229)]",10 - B,10 - B,11 - M,11 - M,11 - M,11 - M,10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B,00 - M,00 - M,00 - M,00 - M,01 - B,01 - B
"(231, 132)",2.0,"(2, 3)","[(200, 219), (230, 229)]",00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M
"(153, 32)",2.0,"(3, 5)","[(230, 229), (231, 132)]",01 - B,01 - B,10 - B,11 - M,10 - B,10 - B,00 - M,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,11 - M,01 - B,01 - B,00 - M,01 - B,10 - B,10 - B
"(244, 18)",2.0,"(3, 7)","[(230, 229), (244, 18)]",01 - B,00 - M,11 - M,10 - B,11 - M,10 - B,01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B,01 - B,00 - M,01 - B,00 - M,11 - M,10 - B
,2.0,"(5, 7)","[(231, 132), (244, 18)]",11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,01 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,10 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M
,2.0,"(6, 7)","[(153, 32), (244, 18)]",01 - B,10 - B,11 - M,10 - B,01 - B,10 - B,11 - M,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,00 - M,01 - B,10 - B,01 - B,00 - M,01 - B,10 - B
