PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001011,01001101,01001110,01011010,01100011,01100110,10011001,10011100,10100101,10110001,10110010,10110100
"(39, 45)",2.0,"(0, 1)","[(39, 45), (167, 225)]",01 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,10 - B
"(167, 225)",2.0,"(0, 4)","[(39, 45), (98, 73)]",01 - B,01 - B,01 - B,01 - B,00 - M,00 - M,11 - M,11 - M,10 - B,10 - B,10 - B,10 - B
"(155, 155)",2.0,"(0, 6)","[(39, 45), (109, 54)]",01 - B,00 - M,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,11 - M,10 - B
"(174, 142)",2.0,"(0, 7)","[(39, 45), (214, 35)]",01 - B,01 - B,00 - M,00 - M,01 - B,00 - M,11 - M,10 - B,11 - M,11 - M,10 - B,10 - B
"(98, 73)",2.0,"(1, 2)","[(167, 225), (155, 155)]",10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B
"(158, 80)",2.0,"(1, 3)","[(167, 225), (174, 142)]",10 - B,10 - B,10 - B,11 - M,10 - B,10 - B,01 - B,01 - B,00 - M,01 - B,01 - B,01 - B
"(109, 54)",2.0,"(1, 7)","[(167, 225), (214, 35)]",11 - M,11 - M,10 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,01 - B,00 - M,00 - M
"(214, 35)",2.0,"(3, 7)","[(174, 142), (214, 35)]",01 - B,01 - B,00 - M,10 - B,01 - B,00 - M,11 - M,10 - B,01 - B,11 - M,10 - B,10 - B
,2.0,"(5, 7)","[(158, 80), (214, 35)]",01 - B,11 - M,10 - B,00 - M,01 - B,10 - B,01 - B,10 - B,11 - M,01 - B,00 - M,10 - B
,2.0,"(6, 7)","[(109, 54), (214, 35)]",11 - M,01 - B,10 - B,10 - B,11 - M,10 - B,01 - B,00 - M,01 - B,01 - B,10 - B,00 - M
,3.0,"(0, 1, 2)","[(39, 45), (167, 225), (155, 155)]",010 - I,010 - I,010 - I,010 - I,011 - I,011 - I,100 - I,100 - I,101 - I,101 - I,101 - I,101 - I
,3.0,"(0, 1, 4)","[(39, 45), (167, 225), (98, 73)]",011 - I,011 - I,011 - I,011 - I,010 - I,010 - I,101 - I,101 - I,100 - I,100 - I,100 - I,100 - I
,3.0,"(0, 4, 6)","[(39, 45), (98, 73), (109, 54)]",011 - I,010 - I,011 - I,011 - I,001 - I,001 - I,110 - I,110 - I,100 - I,100 - I,101 - I,100 - I
,3.0,"(0, 6, 7)","[(39, 45), (109, 54), (214, 35)]",011 - I,001 - I,010 - I,010 - I,011 - I,010 - I,101 - I,100 - I,101 - I,101 - I,110 - I,100 - I
,3.0,"(1, 2, 3)","[(167, 225), (155, 155), (174, 142)]",100 - I,100 - I,100 - I,101 - I,110 - I,110 - I,001 - I,001 - I,010 - I,011 - I,011 - I,011 - I
,3.0,"(1, 3, 7)","[(167, 225), (174, 142), (214, 35)]",101 - I,101 - I,100 - I,110 - I,101 - I,100 - I,011 - I,010 - I,001 - I,011 - I,010 - I,010 - I
,3.0,"(3, 5, 7)","[(174, 142), (158, 80), (214, 35)]",001 - I,011 - I,010 - I,100 - I,001 - I,010 - I,101 - I,110 - I,011 - I,101 - I,100 - I,110 - I
,3.0,"(5, 6, 7)","[(158, 80), (109, 54), (214, 35)]",011 - I,101 - I,110 - I,010 - I,011 - I,110 - I,001 - I,100 - I,101 - I,001 - I,010 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(39, 45), (167, 225), (155, 155), (174, 142)]",0100 - I,0100 - I,0100 - I,0101 - B,0110 - B,0110 - B,1001 - B,1001 - B,1010 - B,1011 - I,1011 - I,1011 - I
,4.0,"(0, 1, 2, 4)","[(39, 45), (167, 225), (155, 155), (98, 73)]",0101 - B,0101 - B,0101 - B,0101 - B,0110 - B,0110 - B,1001 - B,1001 - B,1010 - B,1010 - B,1010 - B,1010 - B
,4.0,"(0, 1, 4, 6)","[(39, 45), (167, 225), (98, 73), (109, 54)]",0111 - I,0110 - B,0111 - I,0111 - I,0101 - B,0101 - B,1010 - B,1010 - B,1000 - I,1000 - I,1001 - B,1000 - I
,4.0,"(0, 2, 4, 6)","[(39, 45), (155, 155), (98, 73), (109, 54)]",0011 - B,0010 - I,0011 - B,0011 - B,0101 - B,0101 - B,1010 - B,1010 - B,1100 - B,1100 - B,1101 - I,1100 - B
,4.0,"(0, 4, 5, 6)","[(39, 45), (98, 73), (158, 80), (109, 54)]",0101 - B,0110 - B,0111 - I,0101 - B,0001 - I,0011 - B,1100 - B,1110 - I,1010 - B,1000 - I,1001 - B,1010 - B
,4.0,"(0, 4, 6, 7)","[(39, 45), (98, 73), (109, 54), (214, 35)]",0111 - I,0101 - B,0110 - B,0110 - B,0011 - B,0010 - I,1101 - I,1100 - B,1001 - B,1001 - B,1010 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(39, 45), (158, 80), (109, 54), (214, 35)]",0011 - B,0101 - B,0110 - B,0010 - I,0011 - B,0110 - B,1001 - B,1100 - B,1101 - I,1001 - B,1010 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,,,,,
