PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01001101,01100110,10011001,10110010
"(45, 1)",2.0,"(0, 1)","[(45, 1), (191, 253)]",01 - B,01 - B,10 - B,10 - B
"(191, 253)",2.0,"(0, 4)","[(45, 1), (166, 133)]",01 - B,00 - M,11 - M,10 - B
"(179, 172)",2.0,"(0, 5)","[(45, 1), (164, 102)]",01 - B,01 - B,10 - B,10 - B
"(192, 174)",2.0,"(0, 6)","[(45, 1), (174, 14)]",00 - M,01 - B,10 - B,11 - M
"(166, 133)",2.0,"(0, 7)","[(45, 1), (210, 2)]",01 - B,00 - M,11 - M,10 - B
"(164, 102)",2.0,"(1, 2)","[(191, 253), (179, 172)]",10 - B,11 - M,00 - M,01 - B
"(174, 14)",2.0,"(1, 3)","[(191, 253), (192, 174)]",10 - B,10 - B,01 - B,01 - B
"(210, 2)",2.0,"(1, 7)","[(191, 253), (210, 2)]",11 - M,10 - B,01 - B,00 - M
,2.0,"(3, 7)","[(192, 174), (210, 2)]",01 - B,00 - M,11 - M,10 - B
,2.0,"(6, 7)","[(174, 14), (210, 2)]",01 - B,10 - B,01 - B,10 - B
,3.0,"(0, 1, 2)","[(45, 1), (191, 253), (179, 172)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 1, 4)","[(45, 1), (191, 253), (166, 133)]",011 - I,010 - I,101 - I,100 - I
,3.0,"(0, 4, 5)","[(45, 1), (166, 133), (164, 102)]",011 - I,001 - I,110 - I,100 - I
,3.0,"(0, 5, 6)","[(45, 1), (164, 102), (174, 14)]",010 - I,011 - I,100 - I,101 - I
,3.0,"(0, 6, 7)","[(45, 1), (174, 14), (210, 2)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(1, 2, 3)","[(191, 253), (179, 172), (192, 174)]",100 - I,110 - I,001 - I,011 - I
,3.0,"(1, 3, 7)","[(191, 253), (192, 174), (210, 2)]",101 - I,100 - I,011 - I,010 - I
,3.0,"(3, 6, 7)","[(192, 174), (174, 14), (210, 2)]",001 - I,010 - I,101 - I,110 - I
,3.0,"(5, 6, 7)","[(164, 102), (174, 14), (210, 2)]",101 - I,110 - I,001 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(45, 1), (191, 253), (179, 172), (192, 174)]",0100 - I,0110 - B,1001 - B,1011 - I
,4.0,"(0, 1, 2, 4)","[(45, 1), (191, 253), (179, 172), (166, 133)]",0101 - B,0110 - B,1001 - B,1010 - B
,4.0,"(0, 1, 4, 5)","[(45, 1), (191, 253), (166, 133), (164, 102)]",0111 - I,0101 - B,1010 - B,1000 - I
,4.0,"(0, 2, 4, 5)","[(45, 1), (179, 172), (166, 133), (164, 102)]",0011 - B,0101 - B,1010 - B,1100 - B
,4.0,"(0, 4, 5, 6)","[(45, 1), (166, 133), (164, 102), (174, 14)]",0110 - B,0011 - B,1100 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(45, 1), (164, 102), (174, 14), (210, 2)]",0101 - B,0110 - B,1001 - B,1010 - B
,,,Total Balanced Sets,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,
