PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,00110110,01001011,01001110,01100011,01100101,01100110,10011001,10011010,10011100,10110001,10110100,11001001,11001100
"(7, 125)",2.0,"(0, 1)","[(7, 125), (182, 242)]",00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M
"(182, 242)",2.0,"(0, 2)","[(7, 125), (84, 164)]",01 - B,01 - B,00 - M,00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M,11 - M,10 - B,10 - B
"(84, 164)",2.0,"(0, 6)","[(7, 125), (119, 99)]",01 - B,01 - B,01 - B,01 - B,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,10 - B,10 - B,10 - B,10 - B
"(180, 191)",2.0,"(0, 7)","[(7, 125), (248, 14)]",01 - B,00 - M,01 - B,00 - M,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,11 - M,10 - B,11 - M,10 - B
"(157, 169)",2.0,"(1, 2)","[(182, 242), (84, 164)]",01 - B,01 - B,10 - B,10 - B,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,01 - B,01 - B,10 - B,10 - B
"(161, 118)",2.0,"(1, 3)","[(182, 242), (180, 191)]",01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B
"(119, 99)",2.0,"(1, 7)","[(182, 242), (248, 14)]",01 - B,00 - M,11 - M,10 - B,11 - M,11 - M,10 - B,01 - B,00 - M,00 - M,01 - B,00 - M,11 - M,10 - B
"(248, 14)",2.0,"(3, 7)","[(180, 191), (248, 14)]",11 - M,10 - B,01 - B,00 - M,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,11 - M,10 - B,01 - B,00 - M
,2.0,"(5, 7)","[(161, 118), (248, 14)]",01 - B,10 - B,01 - B,10 - B,01 - B,11 - M,10 - B,01 - B,00 - M,10 - B,01 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(119, 99), (248, 14)]",11 - M,10 - B,11 - M,10 - B,11 - M,01 - B,10 - B,01 - B,10 - B,00 - M,01 - B,00 - M,01 - B,00 - M
,3.0,"(0, 1, 2)","[(7, 125), (182, 242), (84, 164)]",001 - I,001 - I,010 - I,010 - I,011 - I,011 - I,011 - I,100 - I,100 - I,100 - I,101 - I,101 - I,110 - I,110 - I
,3.0,"(0, 2, 6)","[(7, 125), (84, 164), (119, 99)]",011 - I,011 - I,001 - I,001 - I,011 - I,010 - I,011 - I,100 - I,101 - I,100 - I,110 - I,110 - I,100 - I,100 - I
,3.0,"(0, 6, 7)","[(7, 125), (119, 99), (248, 14)]",011 - I,010 - I,011 - I,010 - I,011 - I,001 - I,010 - I,101 - I,110 - I,100 - I,101 - I,100 - I,101 - I,100 - I
,3.0,"(1, 2, 3)","[(182, 242), (84, 164), (180, 191)]",011 - I,011 - I,100 - I,100 - I,110 - I,110 - I,110 - I,001 - I,001 - I,001 - I,011 - I,011 - I,100 - I,100 - I
,3.0,"(1, 3, 4)","[(182, 242), (180, 191), (157, 169)]",010 - I,010 - I,101 - I,101 - I,100 - I,100 - I,100 - I,011 - I,011 - I,011 - I,010 - I,010 - I,101 - I,101 - I
,3.0,"(1, 3, 7)","[(182, 242), (180, 191), (248, 14)]",011 - I,010 - I,101 - I,100 - I,101 - I,101 - I,100 - I,011 - I,010 - I,010 - I,011 - I,010 - I,101 - I,100 - I
,3.0,"(3, 5, 7)","[(180, 191), (161, 118), (248, 14)]",101 - I,110 - I,001 - I,010 - I,001 - I,011 - I,010 - I,101 - I,100 - I,110 - I,101 - I,110 - I,001 - I,010 - I
,3.0,"(5, 6, 7)","[(161, 118), (119, 99), (248, 14)]",011 - I,110 - I,011 - I,110 - I,011 - I,101 - I,110 - I,001 - I,010 - I,100 - I,001 - I,100 - I,001 - I,100 - I
,4.0,"(0, 1, 2, 3)","[(7, 125), (182, 242), (84, 164), (180, 191)]",0011 - B,0011 - B,0100 - I,0100 - I,0110 - B,0110 - B,0110 - B,1001 - B,1001 - B,1001 - B,1011 - I,1011 - I,1100 - B,1100 - B
,4.0,"(0, 1, 2, 4)","[(7, 125), (182, 242), (84, 164), (157, 169)]",0010 - I,0010 - I,0101 - B,0101 - B,0110 - B,0110 - B,0110 - B,1001 - B,1001 - B,1001 - B,1010 - B,1010 - B,1101 - I,1101 - I
,4.0,"(0, 1, 2, 6)","[(7, 125), (182, 242), (84, 164), (119, 99)]",0011 - B,0011 - B,0101 - B,0101 - B,0111 - I,0110 - B,0111 - I,1000 - I,1001 - B,1000 - I,1010 - B,1010 - B,1100 - B,1100 - B
,4.0,"(0, 2, 4, 6)","[(7, 125), (84, 164), (157, 169), (119, 99)]",0101 - B,0101 - B,0011 - B,0011 - B,0101 - B,0100 - I,0101 - B,1010 - B,1011 - I,1010 - B,1100 - B,1100 - B,1010 - B,1010 - B
,4.0,"(0, 2, 5, 6)","[(7, 125), (84, 164), (161, 118), (119, 99)]",0101 - B,0111 - I,0001 - I,0011 - B,0101 - B,0110 - B,0111 - I,1000 - I,1001 - B,1010 - B,1100 - B,1110 - I,1000 - I,1010 - B
,4.0,"(0, 2, 6, 7)","[(7, 125), (84, 164), (119, 99), (248, 14)]",0111 - I,0110 - B,0011 - B,0010 - I,0111 - I,0101 - B,0110 - B,1001 - B,1010 - B,1000 - I,1101 - I,1100 - B,1001 - B,1000 - I
,4.0,"(0, 5, 6, 7)","[(7, 125), (161, 118), (119, 99), (248, 14)]",0011 - B,0110 - B,0011 - B,0110 - B,0011 - B,0101 - B,0110 - B,1001 - B,1010 - B,1100 - B,1001 - B,1100 - B,1001 - B,1100 - B
,,,Total Balanced Sets,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,Size of Maximum Balanced Sets,,,,,,,,,,,,,,
