PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,00110011,00110110,00111001,01001011,01001110,01100011,01100110,01101001,10010110,10011001,10011100,10110001,10110100,11000110,11001001,11001100
"(216, 245)",2.0,"(0, 1)","[(216, 245), (253, 97)]",00 - M,00 - M,00 - M,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,11 - M,11 - M,11 - M
"(253, 97)",2.0,"(0, 2)","[(216, 245), (221, 191)]",01 - B,01 - B,01 - B,00 - M,00 - M,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,11 - M,11 - M,10 - B,10 - B,10 - B
"(221, 191)",2.0,"(0, 6)","[(216, 245), (162, 163)]",01 - B,01 - B,00 - M,01 - B,01 - B,01 - B,01 - B,00 - M,11 - M,10 - B,10 - B,10 - B,10 - B,11 - M,10 - B,10 - B
"(171, 82)",2.0,"(0, 7)","[(216, 245), (3, 15)]",01 - B,00 - M,01 - B,01 - B,00 - M,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,11 - M,10 - B,10 - B,11 - M,10 - B
"(179, 138)",2.0,"(1, 2)","[(253, 97), (221, 191)]",01 - B,01 - B,01 - B,10 - B,10 - B,11 - M,11 - M,11 - M,00 - M,00 - M,00 - M,01 - B,01 - B,10 - B,10 - B,10 - B
"(149, 85)",2.0,"(1, 3)","[(253, 97), (171, 82)]",01 - B,01 - B,01 - B,10 - B,10 - B,10 - B,10 - B,10 - B,01 - B,01 - B,01 - B,01 - B,01 - B,10 - B,10 - B,10 - B
"(162, 163)",2.0,"(1, 7)","[(253, 97), (3, 15)]",01 - B,00 - M,01 - B,11 - M,10 - B,11 - M,10 - B,11 - M,00 - M,01 - B,00 - M,01 - B,00 - M,10 - B,11 - M,10 - B
"(3, 15)",2.0,"(3, 7)","[(171, 82), (3, 15)]",11 - M,10 - B,11 - M,01 - B,00 - M,01 - B,00 - M,01 - B,10 - B,11 - M,10 - B,11 - M,10 - B,00 - M,01 - B,00 - M
,2.0,"(5, 7)","[(149, 85), (3, 15)]",01 - B,10 - B,01 - B,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,01 - B,10 - B,10 - B,01 - B,10 - B
,2.0,"(6, 7)","[(162, 163), (3, 15)]",11 - M,10 - B,01 - B,11 - M,10 - B,11 - M,10 - B,01 - B,10 - B,01 - B,00 - M,01 - B,00 - M,10 - B,01 - B,00 - M
