PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points,01010101,10101010
"(99, 21)",2.0,"(0, 1)","[(99, 21), (10, 200)]",01 - B,10 - B
"(10, 200)",2.0,"(0, 5)","[(99, 21), (150, 108)]",01 - B,10 - B
"(23, 235)",2.0,"(0, 7)","[(99, 21), (245, 67)]",01 - B,10 - B
"(36, 208)",2.0,"(1, 2)","[(10, 200), (23, 235)]",10 - B,01 - B
"(92, 156)",2.0,"(2, 3)","[(23, 235), (36, 208)]",01 - B,10 - B
"(150, 108)",2.0,"(2, 7)","[(23, 235), (245, 67)]",01 - B,10 - B
"(156, 111)",2.0,"(6, 7)","[(156, 111), (245, 67)]",01 - B,10 - B
"(245, 67)",3.0,"(0, 1, 2)","[(99, 21), (10, 200), (23, 235)]",010 - I,101 - I
,3.0,"(0, 1, 3)","[(99, 21), (10, 200), (36, 208)]",011 - I,100 - I
,3.0,"(0, 1, 4)","[(99, 21), (10, 200), (92, 156)]",010 - I,101 - I
,3.0,"(0, 1, 5)","[(99, 21), (10, 200), (150, 108)]",011 - I,100 - I
,3.0,"(0, 5, 6)","[(99, 21), (150, 108), (156, 111)]",010 - I,101 - I
,3.0,"(0, 5, 7)","[(99, 21), (150, 108), (245, 67)]",011 - I,100 - I
,3.0,"(0, 6, 7)","[(99, 21), (156, 111), (245, 67)]",001 - I,110 - I
,3.0,"(1, 2, 3)","[(10, 200), (23, 235), (36, 208)]",101 - I,010 - I
,3.0,"(2, 3, 4)","[(23, 235), (36, 208), (92, 156)]",010 - I,101 - I
,3.0,"(2, 3, 7)","[(23, 235), (36, 208), (245, 67)]",011 - I,100 - I
,3.0,"(2, 6, 7)","[(23, 235), (156, 111), (245, 67)]",001 - I,110 - I
,3.0,"(5, 6, 7)","[(150, 108), (156, 111), (245, 67)]",101 - I,010 - I
,4.0,"(0, 1, 2, 3)","[(99, 21), (10, 200), (23, 235), (36, 208)]",0101 - B,1010 - B
,4.0,"(0, 1, 3, 4)","[(99, 21), (10, 200), (36, 208), (92, 156)]",0110 - B,1001 - B
,4.0,"(0, 1, 4, 5)","[(99, 21), (10, 200), (92, 156), (150, 108)]",0101 - B,1010 - B
,4.0,"(0, 1, 5, 6)","[(99, 21), (10, 200), (150, 108), (156, 111)]",0110 - B,1001 - B
,4.0,"(0, 5, 6, 7)","[(99, 21), (150, 108), (156, 111), (245, 67)]",0101 - B,1010 - B
,,,Total Balanced Sets,12,12
,,,Size of Maximum Balanced Sets,,
